product_id,version,image_path,taste,taste_initMouse,taste_RT,liking,liking_initMouse,liking_RT,health,health_initMouse,health_RT,participant,age,trial_type,correct_product,memory_correct_product,memory_chosen,memory_accuracy,memory_RT
Slimdelis,health,/Users/valentinaparada/Documents/experiemnt/taste&health/Slimdelis_health.png,4.6,4.6,2.004828165983781,2.1,2.1,0.20248658303171396,1.8,1.8,0.24676612502662465,hh,l,,,,,,
Tapuchips,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Tapuchips_taste.png,4.3,4.3,0.7619674999732524,2.6,2.6,0.4705350419972092,2.7,2.7,0.4561285409727134,hh,l,,,,,,
TimTam,health,/Users/valentinaparada/Documents/experiemnt/taste&health/TimTam_health.png,1.8,1.8,0.5574841659981757,2.7,2.7,1.371919416997116,2.7,2.7,0.024959250004030764,hh,l,,,,,,
HARIBO_Peaches,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/HARIBO_Peaches_taste.png,1.9,1.9,1.182774375018198,3.1,3.1,2.118795666960068,3.4,3.4,1.7379427500418387,hh,l,,,,,,
ChocolatePara,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/ChocolatePara_taste.png,3.7,3.7,0.6833227500319481,2.8,2.8,1.7226812499575317,3.2,3.2,0.7873894170043059,hh,l,,,,,,
Cheetos,health,/Users/valentinaparada/Documents/experiemnt/taste&health/Cheetos_health.png,3.2,3.2,0.9918135000043549,3.8,3.8,2.236266667023301,3.1,3.1,2.21913779102033,hh,l,,,,,,
HARIBO_Peaches,original,/Users/valentinaparada/Documents/experiemnt/taste&health/HARIBO_Peaches_original.png,3.8,3.8,0.2702280420344323,2.3,2.2,1.3427070829784498,4.5,4.5,0.5129937499877997,hh,l,,,,,,
Tamar,original,/Users/valentinaparada/Documents/experiemnt/taste&health/Tamar_original.png,4.2,4.8,0.6060205830144696,3.2,3.2,0.3199563749949448,2.5,2.5,0.34140662499703467,hh,l,,,,,,
WaffleCrisp,health,/Users/valentinaparada/Documents/experiemnt/taste&health/WaffleCrisp_health.png,2.0,2.2,0.6408996250247583,2.8,2.8,0.25075279199518263,3.0,3.0,0.29900433303555474,hh,l,,,,,,
Cheetos,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/Cheetos_taste.png,5.0,5.0,0.360864375019446,3.6,3.6,0.020026166981551796,4.0,4.0,0.44559883401961997,hh,l,,,,,,
WaffleCrisp,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/WaffleCrisp_taste.png,3.2,3.2,1.2867490829667076,3.9,3.9,0.0808001669938676,3.2,3.2,1.1698107909760438,hh,l,,,,,,
CocaColaZero,taste,/Users/valentinaparada/Documents/experiemnt/taste&health/CocaColaZero_taste.png,2.0,2.0,0.5314760830369778,5.1,5.1,0.3941764999763109,3.7,3.7,0.5132796249818057,hh,l,,,,,,
,,,,,,,,,,,,hh,l,memory,CocaColaZero,CocaColaZero,CocaColaZero,True,2.872600083006546
