product_id,version,image_path,thisN,thisTrialN,thisRepN,ratingSlider.response,ratingSlider.rt,ratingMouse.x,ratingMouse.y,ratingMouse.leftButton,ratingMouse.midButton,ratingMouse.rightButton,ratingMouse.time,memoryKey.keys,memoryKey.rt,memoryKey.duration,main_loop.thisRepN,main_loop.thisTrialN,main_loop.thisN,main_loop.thisIndex,thisRow.t,notes,Welcome.started,text_welcome.started,key_resp.started,Welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_instructions.started,key_resp_instructions.started,instructions.stopped,key_resp_instructions.keys,key_resp_instructions.rt,key_resp_instructions.duration,setOrder.started,setOrder.stopped,fixation.started,text_fixation.started,fixation.stopped,ratingTrial.started,productImage.started,questionText.started,ratingValueText.started,ratingSlider.started,sliderCover.started,ratingMouse.started,leftAnchor.started,rightAnchor.started,warningText.started,ratingTrial.stopped,liking,liking_initMouse,liking_RT,taste,taste_initMouse,taste_RT,health,health_initMouse,health_RT,main_loop.ratingSlider.response,main_loop.ratingSlider.rt,main_loop.ratingMouse.x,main_loop.ratingMouse.y,main_loop.ratingMouse.leftButton,main_loop.ratingMouse.midButton,main_loop.ratingMouse.rightButton,main_loop.ratingMouse.time,memory_count_now,memory_target_now,memoryTrial.started,memoryTrial.stopped,memory_correct_product,memory_chosen,memory_accuracy,memory_RT,main_loop.memoryKey.keys,text_fixation.stopped,memoryQuestion.started,opt1Text.started,opt2Text.started,opt3Text.started,memoryKey.started,main_loop.memoryKey.rt,main_loop.memoryKey.duration,thanks.started,endText.started,endKey.started,thanks.stopped,endKey.keys,endKey.rt,endKey.duration,participant_ID,age,date,expName,expVersion,psychopyVersion,frameRate,expStart,
XL,taste,taste&health/XL_taste.png,7,7,0,6.2,0.5551748750003753,"[np.float64(-0.1811111111111111), np.float64(-0.1288888888888889), np.float64(0.27111111111111114)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5334910830024455, 1.3825692500031437, 2.3511965830002737]",None,,,0,7,7,7,33.43747516700023,,,,,,,,,,,,,,,,,,33.42801891700219,33.43747516700023,33.920627625000634,33.974615792001714,34.00770395899963,34.00770395899963,34.00770395899963,35.916455417002,34.00770395899963,0.04673854200154892,34.00770395899963,34.00770395899963,34.00770395899963,36.85581604199979,2.2,2.2,0.32433316700189607,1.7,1.7,0.5840377089989488,6.1,6.1,0.4434603750014503,6.2,0.5551748750003753,"[np.float64(-0.1811111111111111), np.float64(-0.1288888888888889), np.float64(0.27111111111111114)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5334910830024455, 1.3825692500031437, 2.3511965830002737]",,,36.85600779200104,36.85604254200007,,,,,None,34.00770395899963,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Allin,taste,taste&health/Allin_taste.png,8,8,0,0.0,0.4741965000030177,"[np.float64(0.16666666666666666), np.float64(0.26555555555555554), np.float64(-0.35777777777777775)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3191576669996721, 1.250608624999586, 2.135581624999759]",None,,,0,8,8,8,36.8708840420004,,,,,,,,,,,,,,,,,,36.85616779200063,36.8708840420004,37.3539100420021,37.40938174999974,37.4430267500029,37.4430267500029,37.4430267500029,39.237696416999825,37.4430267500029,0.053354416999354726,37.4430267500029,37.4430267500029,37.4430267500029,40.05814312500297,5.1,5.1,0.367981041999883,0.0,0.0,0.3420615409995662,6.1,6.1,0.4097734999995737,0.0,0.4741965000030177,"[np.float64(0.16666666666666666), np.float64(0.26555555555555554), np.float64(-0.35777777777777775)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3191576669996721, 1.250608624999586, 2.135581624999759]",,,40.05833466700278,40.05837095900279,,,,,None,37.4430267500029,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Slimdelis,health,taste&health/Slimdelis_health.png,9,9,0,5.8,0.5455862080016232,"[np.float64(-0.23222222222222222), np.float64(-0.15666666666666668), np.float64(0.23333333333333334)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5661540000000969, 1.3797937499984982, 2.322129500000301]",None,,,0,9,9,9,40.07111037499999,,,,,,,,,,,,,,,,,,40.05849750000198,40.07111037499999,40.55393712500154,40.60892270900149,40.641199459001655,40.641199459001655,40.641199459001655,42.55165870900237,40.641199459001655,0.050573624997923616,40.641199459001655,40.641199459001655,40.641199459001655,43.44272220900166,1.2,1.2,0.6132034170004772,5.8,5.8,0.4136746250005672,2.0,2.0,0.28859599999850616,5.8,0.5455862080016232,"[np.float64(-0.23222222222222222), np.float64(-0.15666666666666668), np.float64(0.23333333333333334)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.5661540000000969, 1.3797937499984982, 2.322129500000301]",,,43.44291775000238,43.442953042002046,,,,,None,40.641199459001655,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
CocaColaZero,health,taste&health/CocaColaZero_health.png,10,10,0,4.8,0.16755441699933726,"[np.float64(0.016666666666666666), np.float64(0.12666666666666668), np.float64(0.12666666666666668)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.44647249999979977, 1.1883902920017135, 1.7184413750001113]",3,1.9751574160000018,None,0,10,10,10,43.4544004590025,,,,,,,,,,,,,,,,,,43.44308091700077,43.4544004590025,43.942886959001044,44.00061179200202,44.03455937500257,44.03455937500257,44.03455937500257,45.75445554200269,44.03455937500257,0.057676665997860255,44.03455937500257,44.03455937500257,44.03455937500257,46.26595854200059,3.7,3.7,0.4970862500013027,4.7,2.4,0.02977587500208756,4.7,4.7,0.22162920800110442,4.8,0.16755441699933726,"[np.float64(0.016666666666666666), np.float64(0.12666666666666668), np.float64(0.12666666666666668)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.44647249999979977, 1.1883902920017135, 1.7184413750001113]",2,2,46.28706233400226,48.27240904200153,CocaColaZero,CocaColaZero,1,1.9751574160000018,3,44.03455937500257,46.29406037499939,46.29406037499939,46.29406037499939,46.29406037499939,46.29406037499939,1.9751574160000018,None,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Slimdelis,taste,taste&health/Slimdelis_taste.png,11,11,0,1.5,0.593530041998747,"[np.float64(-0.20333333333333334), np.float64(-0.20333333333333334), np.float64(0.0022222222222222222), np.float64(0.0022222222222222222), np.float64(-0.1988888888888889), np.float64(-0.1988888888888889)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.44935650000115857, 0.7922867920024146, 1.1939945000012813, 1.4994385419995524, 1.852215625000099, 2.1211144580011023]",None,,,0,11,11,11,48.28282300000137,,,,,,,,,,,,,,,,,,48.272800624999945,48.28282300000137,48.7714076250013,48.83515337500285,48.869118792001245,48.869118792001245,48.869118792001245,50.588012750002235,48.869118792001245,0.0626864170008048,48.869118792001245,48.869118792001245,48.869118792001245,51.21546941700217,1.6,1.6,0.13059845799944014,1.5,1.5,0.4933139159984421,3.5,3.5,0.21626966699841432,1.5,0.593530041998747,"[np.float64(-0.20333333333333334), np.float64(-0.20333333333333334), np.float64(0.0022222222222222222), np.float64(0.0022222222222222222), np.float64(-0.1988888888888889), np.float64(-0.1988888888888889)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0.44935650000115857, 0.7922867920024146, 1.1939945000012813, 1.4994385419995524, 1.852215625000099, 2.1211144580011023]",,,51.215706917002535,51.21574379199956,,,,,None,48.869118792001245,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
MangoFree,original,taste&health/MangoFree_original.png,12,12,0,5.4,0.5241873749982915,"[np.float64(-0.016666666666666666), np.float64(-0.016666666666666666), np.float64(0.19444444444444445), np.float64(0.19444444444444445)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.5996867920002842, 1.0271490830018593, 1.5382211249998363, 1.9836920000016107]",None,,,0,12,12,12,51.22132920900185,,,,,,,,,,,,,,,,,,51.215867459002766,51.22132920900185,51.7047322920007,51.768744875000266,51.803554459002044,51.803554459002044,51.803554459002044,52.92891058399982,51.803554459002044,0.053018416998384055,51.803554459002044,51.803554459002044,51.803554459002044,53.82647487500071,5.4,5.4,0.4129312500008382,3.3,3.3,0.07622687500042957,5.8,5.8,0.046248708000348415,5.4,0.5241873749982915,"[np.float64(-0.016666666666666666), np.float64(-0.016666666666666666), np.float64(0.19444444444444445), np.float64(0.19444444444444445)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.5996867920002842, 1.0271490830018593, 1.5382211249998363, 1.9836920000016107]",,,53.82667479200245,53.8267097090029,,,,,None,51.803554459002044,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
CocaColaZero,taste,taste&health/CocaColaZero_taste.png,13,13,0,1.6,0.43334216700168326,"[np.float64(0.2644444444444444), np.float64(0.2911111111111111), np.float64(-0.19)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.32760120799866854, 1.15721241600113, 1.9141557080001803]",None,,,0,13,13,13,53.83793366700047,,,,,,,,,,,,,,,,,,53.826836500000354,53.83793366700047,54.32098849999966,54.374548292002146,54.40755916700073,54.40755916700073,54.40755916700073,56.08284058400022,54.40755916700073,0.047854124997684266,54.40755916700073,54.40755916700073,54.40755916700073,56.80768654200074,6.3,6.3,0.30419658300161245,1.7,1.7,0.23757191700133262,6.1,6.1,0.3669906670002092,1.6,0.43334216700168326,"[np.float64(0.2644444444444444), np.float64(0.2911111111111111), np.float64(-0.19)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.32760120799866854, 1.15721241600113, 1.9141557080001803]",3,2,56.807878375002474,56.80791245900036,,,,,None,54.40755916700073,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
MangoFree,health,taste&health/MangoFree_health.png,14,14,0,4.4,0.3893846669998311,"[np.float64(-0.09), np.float64(-0.09), np.float64(0.08555555555555555)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.39744475000043167, 1.0261157499990077, 1.8046257499991043]",None,,,0,14,14,14,56.821519834000355,,,,,,,,,,,,,,,,,,56.808038417002535,56.821519834000355,57.30799895900054,57.35974675000034,57.39270116700209,57.39270116700209,57.39270116700209,58.94057091700233,57.39270116700209,0.05185137499938719,57.39270116700209,57.39270116700209,57.39270116700209,59.678915459000564,2.6,2.6,0.09443987499980722,2.6,2.6,0.438359625000885,4.3,4.3,0.25583708400154137,4.4,0.3893846669998311,"[np.float64(-0.09), np.float64(-0.09), np.float64(0.08555555555555555)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.39744475000043167, 1.0261157499990077, 1.8046257499991043]",,,59.67910333400141,59.679137750001246,,,,,None,57.39270116700209,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
Cornflakes,original,taste&health/Cornflakes_original.png,15,15,0,0.9,0.4294108750000305,"[np.float64(-0.3466666666666667), np.float64(-0.16555555555555557), np.float64(-0.2644444444444444)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.29229175000000396, 0.9324437079994823, 1.7294851250007923]",None,,,0,15,15,15,59.68814025000029,,,,,,,,,,,,,,,,,,59.67926608400012,59.68814025000029,60.17101800000091,60.22064487500029,60.2529749589994,60.2529749589994,60.2529749589994,61.70676679200187,60.2529749589994,0.04152412499752245,60.2529749589994,60.2529749589994,60.2529749589994,62.46694179200131,1.9,1.9,0.11234545800107298,0.9,0.9,0.27519987499908893,0.1,0.1,0.32713170900024124,0.9,0.4294108750000305,"[np.float64(-0.3466666666666667), np.float64(-0.16555555555555557), np.float64(-0.2644444444444444)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.29229175000000396, 0.9324437079994823, 1.7294851250007923]",,,62.46713054200154,62.467166209000425,,,,,None,60.2529749589994,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
MangoFree,taste,taste&health/MangoFree_taste.png,16,16,0,7.0,0.4055187499980093,"[np.float64(-0.08888888888888889), np.float64(0.13444444444444445), np.float64(0.34555555555555556)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3137842500000261, 1.1485898330029158, 1.939601500002027]",None,,,0,16,16,16,62.47276662500008,,,,,,,,,,,,,,,,,,62.46729229199991,62.47276662500008,62.960885459000565,63.022070000002714,63.05504762500277,63.05504762500277,63.05504762500277,64.72173425000074,63.05504762500277,0.054919415997574106,63.05504762500277,63.05504762500277,63.05504762500277,65.48037166699942,6.9,6.9,0.2717447920003906,2.6,2.6,0.3552435419987887,4.8,4.8,0.3081584159990598,7.0,0.4055187499980093,"[np.float64(-0.08888888888888889), np.float64(0.13444444444444445), np.float64(0.34555555555555556)]","[np.float64(-0.33), np.float64(-0.33), np.float64(-0.33)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.3137842500000261, 1.1485898330029158, 1.939601500002027]",,,65.48055841700261,65.48059412500152,,,,,None,63.05504762500277,,,,,,,,,,,,,,,hi,33,2026-03-16_15h44.51.082,products_online,,2025.1.1,None,2026-03-16 15h45.01.846178 +0200,
